state,x,y
Acre,-332, 92
Alagoas,262, 79
Amapá,-1, 267
Amazonas,-249, 163
Bahia,153, 29
Ceará,207, 162
Distrito Federal,69, -26
Espírito Santo,192, -91
Goiás,14, -47
Maranhão,101, 166
Mato Grosso,-66, 19
Mato Grosso Do Sul,-55, -107
Minas Gerais,105, -75
Pará,-31, 163
Paraíba,277, 127
Paraná,-16, -185
Pernambuco,278, 104
Piauí,128, 105
Rio De Janeiro,162, -139
Rio Grande Do Norte,271, 154
Rio Grande Do Sul,-19, -288
Rondônia,-200, 62
Roraima,-156, 298
Santa Catarina,40, -231
São Paulo,71, -158
Sergipe,244, 59
Tocantins,52, 64
